timestamp,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,speed_ratio,delay_time,date,time,location
2025-05-06 14:06:20.070286,27.1879,78.0129,FRC2,22,27,1064,867,0.8148148148148148,197,2025-05-06,14:06:20.070286,"Agra Fort, India"
2025-05-06 14:06:20.684909,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-06,14:06:20.684909,"India Gate, Delhi, India"
2025-05-06 14:06:21.293112,19.076,72.8777,FRC4,14,17,188,155,0.8235294117647058,33,2025-05-06,14:06:21.293112,"Mumbai, India"
2025-05-06 14:06:21.967666,12.9716,77.5946,FRC2,19,26,1827,1335,0.7307692307692307,492,2025-05-06,14:06:21.967666,"Bangalore, India"
2025-05-06 14:06:22.629123,13.0827,80.2707,FRC2,24,24,389,389,1.0,0,2025-05-06,14:06:22.629123,"Chennai, India"
2025-05-06 14:06:23.239106,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-06,14:06:23.239106,"Kolkata, India"
2025-05-06 14:06:24.070574,26.8467,80.9462,FRC2,22,30,2506,1837,0.7333333333333333,669,2025-05-06,14:06:24.070574,"Lucknow, India"
2025-05-06 14:06:24.590509,23.2599,77.4126,FRC4,21,21,468,468,1.0,0,2025-05-06,14:06:24.590509,"Bhopal, India"
2025-05-06 14:06:25.190817,30.7333,76.7794,FRC3,3,19,25,4,0.1578947368421052,21,2025-05-06,14:06:25.190817,"Chandigarh, India"
2025-05-08 17:02:13.327234,27.1767,78.0081,FRC2,21,31,874,592,0.6774193548387096,282,2025-05-08,17:02:13.327234,"Taj Mahal, India"
2025-05-08 17:02:14.073669,27.1879,78.0129,FRC2,22,27,1064,867,0.8148148148148148,197,2025-05-08,17:02:14.073669,"Agra Fort, India"
2025-05-08 17:02:14.924624,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-08,17:02:14.924624,"India Gate, Delhi, India"
2025-05-08 17:02:15.741947,19.076,72.8777,FRC4,18,18,146,146,1.0,0,2025-05-08,17:02:15.741947,"Mumbai, India"
2025-05-08 17:02:16.397859,12.9716,77.5946,FRC2,18,26,1929,1335,0.6923076923076923,594,2025-05-08,17:02:16.397859,"Bangalore, India"
2025-05-08 17:02:17.042358,13.0827,80.2707,FRC2,16,24,584,389,0.6666666666666666,195,2025-05-08,17:02:17.042358,"Chennai, India"
2025-05-08 17:02:17.679182,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-08,17:02:17.679182,"Kolkata, India"
2025-05-08 17:02:18.829890,26.8467,80.9462,FRC2,22,30,2506,1837,0.7333333333333333,669,2025-05-08,17:02:18.829890,"Lucknow, India"
2025-05-08 17:02:19.737752,23.2599,77.4126,FRC4,13,20,756,491,0.65,265,2025-05-08,17:02:19.737752,"Bhopal, India"
2025-05-08 17:02:20.362214,30.7333,76.7794,FRC3,4,21,19,3,0.1904761904761904,16,2025-05-08,17:02:20.362214,"Chandigarh, India"
2025-05-09 21:05:17.413648,27.1767,78.0081,FRC2,19,30,966,611,0.6333333333333333,355,2025-05-09,21:05:17.413648,"Taj Mahal, India"
2025-05-09 21:05:18.028632,27.1879,78.0129,FRC2,20,27,1170,867,0.7407407407407407,303,2025-05-09,21:05:18.028632,"Agra Fort, India"
2025-05-09 21:05:18.597894,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-09,21:05:18.597894,"India Gate, Delhi, India"
2025-05-09 21:05:19.143490,19.076,72.8777,FRC4,7,16,377,165,0.4375,212,2025-05-09,21:05:19.143490,"Mumbai, India"
2025-05-09 21:05:19.710733,12.9716,77.5946,FRC2,20,26,1736,1335,0.7692307692307693,401,2025-05-09,21:05:19.710733,"Bangalore, India"
2025-05-09 21:05:20.285075,13.0827,80.2707,FRC2,17,24,549,389,0.7083333333333334,160,2025-05-09,21:05:20.285075,"Chennai, India"
2025-05-09 21:05:20.895891,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-09,21:05:20.895891,"Kolkata, India"
2025-05-09 21:05:21.721455,26.8467,80.9462,FRC2,22,30,2506,1837,0.7333333333333333,669,2025-05-09,21:05:21.721455,"Lucknow, India"
2025-05-09 21:05:22.345369,23.2599,77.4126,FRC4,14,21,702,468,0.6666666666666666,234,2025-05-09,21:05:22.345369,"Bhopal, India"
2025-05-09 21:05:22.943322,30.7333,76.7794,FRC3,21,21,3,3,1.0,0,2025-05-09,21:05:22.943322,"Chandigarh, India"
2025-05-11 11:32:58.082434,27.1767,78.0081,FRC2,31,31,592,592,1.0,0,2025-05-11,11:32:58.082434,"Taj Mahal, India"
2025-05-11 11:32:58.576416,27.1879,78.0129,FRC2,23,27,1018,867,0.8518518518518519,151,2025-05-11,11:32:58.576416,"Agra Fort, India"
2025-05-11 11:32:59.068718,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-11,11:32:59.068718,"India Gate, Delhi, India"
2025-05-11 11:32:59.617102,19.076,72.8777,FRC4,18,18,146,146,1.0,0,2025-05-11,11:32:59.617102,"Mumbai, India"
2025-05-11 11:33:00.108688,12.9716,77.5946,FRC2,21,25,1653,1388,0.84,265,2025-05-11,11:33:00.108688,"Bangalore, India"
2025-05-11 11:33:00.701729,13.0827,80.2707,FRC2,21,24,445,389,0.875,56,2025-05-11,11:33:00.701729,"Chennai, India"
2025-05-11 11:33:01.196655,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-11,11:33:01.196655,"Kolkata, India"
2025-05-11 11:33:01.851874,26.8467,80.9462,FRC2,25,30,2205,1837,0.8333333333333334,368,2025-05-11,11:33:01.851874,"Lucknow, India"
2025-05-11 11:33:02.366682,23.2599,77.4126,FRC4,21,21,468,468,1.0,0,2025-05-11,11:33:02.366682,"Bhopal, India"
2025-05-11 11:33:02.851005,30.7333,76.7794,FRC3,21,21,3,3,1.0,0,2025-05-11,11:33:02.851005,"Chandigarh, India"
2025-05-12 17:42:57.470229,27.1767,78.0081,FRC2,22,30,834,611,0.7333333333333333,223,2025-05-12,17:42:57.470229,"Taj Mahal, India"
2025-05-12 17:42:58.255300,27.1879,78.0129,FRC2,21,27,1114,867,0.7777777777777778,247,2025-05-12,17:42:58.255300,"Agra Fort, India"
2025-05-12 17:42:58.928604,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-12,17:42:58.928604,"India Gate, Delhi, India"
2025-05-12 17:42:59.688734,19.076,72.8777,FRC4,18,18,146,146,1.0,0,2025-05-12,17:42:59.688734,"Mumbai, India"
